标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,arXiv ID,简明摘要
SWiT-4D: Sliding-Window Transformer for Lossless and Parameter-Free Temporal 4D Generation,SWiT-4D：用于无损且无参数的时序4D生成的滑动窗口Transformer,11 Dec 2025,Diffusion Model,Other,https://arxiv.org/pdf/2512.10860v1,http://arxiv.org/abs/2512.10860v1,2512.10860v1,本文提出了SWiT-4D，一种基于滑动窗口的Transformer模型，实现了从单目视频无损且无需额外参数的高质量4D网格动画生成。该方法巧妙结合现有图像到3D生成模型，增强了视频帧间的时空建模能力，同时保持了单帧处理流程，支持任意长度视频的4D重建。通过引入轨迹优化模块，解决了全局位移恢复问题。SWiT-4D在极少量数据下即可实现高精度几何和稳定的时间一致性，在多个测试集上表现优于现有方法，展示了其在有限监督条件下的实用潜力。
Scaling Behavior of Discrete Diffusion Language Models,离散扩散语言模型的扩展行为研究,11 Dec 2025,Diffusion Model,Other,https://arxiv.org/pdf/2512.10858v1,http://arxiv.org/abs/2512.10858v1,2512.10858v1,本文系统研究了离散扩散语言模型（DLMs）的扩展规律，重点分析了不同噪声类型对模型性能的影响。实验表明，DLM的扩展行为显著依赖于噪声类型，且与传统自回归模型存在明显差异。特别是，均匀扩散噪声在计算资源受限时表现出更高的训练效率，适合数据有限的场景。论文还将均匀扩散模型规模扩大至100亿参数，验证了其扩展规律，并构建了迄今为止最大的公开均匀扩散语言模型，展示了DLM在大规模训练中的潜力和应用价值。
Generative Modeling from Black-box Corruptions via Self-Consistent Stochastic Interpolants,通过自洽随机插值器从黑盒损坏中进行生成建模,11 Dec 2025,AI4Science,Other,https://arxiv.org/pdf/2512.10857v1,http://arxiv.org/abs/2512.10857v1,2512.10857v1,本文提出了一种基于随机插值的新方法，用于从被黑盒噪声破坏的数据中恢复原始干净数据的生成模型。该方法通过迭代更新传输映射，有效逆转数据的破坏过程，仅需访问受损数据和黑盒破坏通道，且计算效率高、适用性强。理论分析证明了该方法的收敛性。实验结果显示，该方法在图像处理和科学重建等逆问题中表现优越，展示了其在无清洁数据环境下构建生成模型的潜力和实用价值。
PoseGAM: Robust Unseen Object Pose Estimation via Geometry-Aware Multi-View Reasoning,PoseGAM：通过几何感知多视角推理实现鲁棒的未知物体姿态估计,11 Dec 2025,Other,Other,https://arxiv.org/pdf/2512.10840v1,http://arxiv.org/abs/2512.10840v1,2512.10840v1,本文提出了PoseGAM，一种基于几何信息的多视角框架，用于提升对未知物体的六自由度姿态估计准确性。该方法通过结合显式点云几何和学习到的几何特征，直接从查询图像及多张模板图像中预测物体姿态，避免了传统方法中复杂的特征匹配过程。作者还构建了包含19万余物体的合成数据集，增强模型的鲁棒性和泛化能力。实验结果显示，PoseGAM在多个基准测试中表现优异，平均准确率较现有方法提升5.1%，在部分数据集上提升高达17.6%，展现了良好的未知物体适应能力。
Learning Controllable and Diverse Player Behaviors in Multi-Agent Environments,多智能体环境中可控且多样化玩家行为的学习,11 Dec 2025,Agent,Other,https://arxiv.org/pdf/2512.10835v1,http://arxiv.org/abs/2512.10835v1,2512.10835v1,本文提出了一种强化学习框架，实现了无需人类游戏数据即可生成可控且多样化的玩家行为。通过在多维行为空间中定义目标行为，并以此指导训练，模型能够灵活调整攻击性、移动性和合作性等特征。一套基于PPO的多智能体策略即可模拟多种玩家风格，无需重复训练。实验表明，该方法在多玩家游戏中显著提升了行为多样性，并准确匹配指定行为，有助于自动化测试、游戏平衡和人性化模拟，具备良好的扩展性和实用价值。
V-OCBF: Learning Safety Filters from Offline Data via Value-Guided Offline Control Barrier Functions,V-OCBF：通过价值引导的离线控制屏障函数从离线数据中学习安全过滤器,11 Dec 2025,Agent,Other,https://arxiv.org/pdf/2512.10822v1,http://arxiv.org/abs/2512.10822v1,2512.10822v1,无法生成摘要。
Quantum Approaches to Urban Logistics: From Core QAOA to Clustered Scalability,量子方法在城市物流中的应用：从核心QAOA到聚类可扩展性,11 Dec 2025,Other,Other,https://arxiv.org/pdf/2512.10813v1,http://arxiv.org/abs/2512.10813v1,2512.10813v1,本文研究了量子近似优化算法（QAOA）在解决具有实际物流约束的旅行商问题（TSP）中的应用。通过结合现实操作条件和当前量子硬件限制，采用基于QUBO的建模方法，作者在高性能计算环境中评估了QAOA的表现。为提升算法在大规模问题上的适用性，提出了结合机器学习的聚类QAOA（Cl-QAOA），将大问题分解为小子问题，增强了量子优化的可扩展性。研究系统地揭示了QAOA在复杂物流优化中的潜力与局限，为未来量子算法在城市物流领域的应用奠定了基础。
Graph Laplacian Transformer with Progressive Sampling for Prostate Cancer Grading,基于图拉普拉斯变换器与渐进采样的前列腺癌分级,11 Dec 2025,Other,Other,https://arxiv.org/pdf/2512.10808v1,http://arxiv.org/abs/2512.10808v1,2512.10808v1,本文针对前列腺癌全切片图像中病理分级难题，提出了一种结合图结构注意力和逐步采样的模型。该方法通过迭代优化区域选择，精准筛选关键组织片段，利用图结构增强空间信息一致性，并动态调整区域权重，提升了特征表达能力。实验结果表明，该模型在多个公开和私有数据集上优于现有方法，实现了更高的诊断准确率和空间一致性，同时保持较低的计算成本，具备良好的临床应用潜力。
HAROOD: A Benchmark for Out-of-distribution Generalization in Sensor-based Human Activity Recognition,HAROOD：传感器基人类活动识别中分布外泛化的基准,11 Dec 2025,Other,Other,https://arxiv.org/pdf/2512.10807v1,http://arxiv.org/abs/2512.10807v1,2512.10807v1,本文针对传感器数据驱动的人体活动识别中存在的分布变化问题，提出了HAROOD基准测试平台，系统评估了跨个体、设备位置、数据集和时间等多种场景下的算法表现。通过整合6个数据集和16种主流方法，实验结果显示目前尚无单一方法能在所有场景中稳定领先，表明该领域仍有较大提升空间。该平台代码开源，便于后续研究扩展，旨在推动面向分布外泛化的人体活动识别技术发展。
Interpretable and Steerable Concept Bottleneck Sparse Autoencoders,[翻译]Interpretable and Steerable Concept Bottleneck Sparse Autoencoders,11 Dec 2025,Other,Other,https://arxiv.org/pdf/2512.10805v1,http://arxiv.org/abs/2512.10805v1,2512.10805v1,本文针对稀疏自编码器在大型视觉语言模型中的可解释性和可控性问题，提出了两项新的评估指标并进行了系统分析，发现大部分神经元难以有效解释或控制，且用户期望的概念往往缺失。为此，作者设计了一种新的后处理框架——概念瓶颈稀疏自编码器（CB-SAE），通过筛除低效神经元并引入与用户定义概念对应的瓶颈层，显著提升了模型的可解释性和可控性。该方法在多任务中均表现出较大改进，具有广泛应用潜力，相关代码和模型权重将公开。
