标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
Seed1.5-VL Technical Report,Seed1.5-VL 技术报告,Multimodal LLM,ByteDance,https://arxiv.org/pdf/2505.07062,https://huggingface.co/papers/2505.07062,本文介绍了Seed1.5-VL，一种面向通用多模态理解与推理的视觉-语言基础模型。该模型结合了532M参数的视觉编码器和20B参数的混合专家语言模型，虽结构紧凑，却在60个公开基准测试中取得38项领先成绩。Seed1.5-VL在图形界面控制和游戏等任务中表现优于多个主流多模态系统，且具备出色的视觉和视频理解及推理能力。论文详细回顾了模型设计、数据构建及训练过程，为多模态AI研究提供了有价值的经验和参考。,75
"MiMo: Unlocking the Reasoning Potential of Language Model -- From
  Pretraining to Posttraining",MiMo：解锁语言模型的推理潜力——从预训练到后训练,LLM,Other,https://arxiv.org/pdf/2505.07608,https://huggingface.co/papers/2505.07608,本文提出了MiMo-7B，一种专为推理任务设计的大型语言模型，涵盖预训练和后训练两个阶段的优化。预训练阶段通过改进数据处理和多阶段数据混合策略，增强模型的推理能力，并引入多标记预测任务提升性能和推理速度。后训练阶段利用包含13万可验证数学和编程题目的数据集进行强化学习，采用难度驱动的奖励机制和策略性数据重采样，解决稀疏奖励和训练稳定性问题。实验表明，MiMo-7B在推理能力上超越了体量更大的模型，强化学习调优后的版本在数学、编程和通用推理任务中表现优异，领先于同类开源模型。,46
"Step1X-3D: Towards High-Fidelity and Controllable Generation of Textured
  3D Assets",Step1X-3D：迈向高保真且可控的纹理化三维资产生成,Diffusion Model,Other,https://arxiv.org/pdf/2505.07747,https://huggingface.co/papers/2505.07747,本文提出了Step1X-3D，一种开放的高质量纹理3D资产生成框架，旨在解决3D生成领域的数据不足、算法限制和生态碎片化问题。该框架通过构建包含200万高质量3D模型的数据集，采用结合变分自编码器与扩散模型的两阶段生成架构，实现了细节丰富的几何形状和跨视角一致的纹理合成。实验结果显示，Step1X-3D在性能上超越现有开源方法，并具备将二维控制技术直接应用于三维生成的能力，为可控3D内容生成提供了新的开放标准。,43
Learning from Peers in Reasoning Models,推理模型中的同伴学习,LLM,Other,https://arxiv.org/pdf/2505.07787,https://huggingface.co/papers/2505.07787,本文针对大型推理模型在推理过程中容易陷入“前缀主导陷阱”——即起始推理质量差时难以自我纠正的问题，提出了一种名为“从同伴学习”（LeaP）的方法。该方法通过让多个推理路径相互共享中间推理总结，实现推理过程中的协同改进。针对小型模型执行效果不佳的问题，作者进一步设计了微调版本LeaP-T。实验证明，LeaP显著提升了多项数学推理任务的表现，展现出强大的错误纠正能力和适应不同难度任务的鲁棒性。该研究为推理模型的协作机制开辟了新方向。,31
Unified Continuous Generative Models,统一连续生成模型,Diffusion Model,Other,https://arxiv.org/pdf/2505.07447,https://huggingface.co/papers/2505.07447,"本文提出了一种统一框架，整合了当前主流的连续生成模型训练与采样方法，包括多步扩散和流匹配模型，以及少步一致性模型。该框架不仅简化了不同模型的训练流程，还显著提升了生成性能。在ImageNet图像生成任务中，所实现的统一训练器和采样器（UCGM-T,S）分别在不同步数下均达到了最新的性能水平，展示出高效且灵活的生成能力。该研究为连续生成模型的发展提供了统一视角和实用工具，推动了生成模型的性能与效率提升。",26
"REFINE-AF: A Task-Agnostic Framework to Align Language Models via
  Self-Generated Instructions using Reinforcement Learning from Automated
  Feedback",REFINE-AF：一种通过自生成指令及自动反馈强化学习对齐语言模型的任务无关框架,LLM,Other,https://arxiv.org/pdf/2505.06548,https://huggingface.co/papers/2505.06548,本文提出了REFINE-AF，一种基于自生成指令和自动反馈强化学习的通用框架，用于提升小型开源大语言模型（如LLaMA 2和Mistral）的任务适应能力。该方法通过半自动化生成多样化指令数据，显著减少了人工标注的成本和工作量。实验结果表明，结合强化学习训练后，模型在63%至66%的任务上较以往方法实现了明显性能提升，展示了该框架在高效模型对齐和指令生成方面的潜力与实用价值。,21
DanceGRPO: Unleashing GRPO on Visual Generation,DanceGRPO：在视觉生成中释放GRPO的潜力,Diffusion Model,ByteDance,https://arxiv.org/pdf/2505.07818,https://huggingface.co/papers/2505.07818,本文提出了DanceGRPO，一种首创的统一强化学习框架，成功将群体相对策略优化（GRPO）应用于视觉生成任务。该方法兼容两大生成范式（扩散模型和修正流）、多种任务（文本到图像/视频、图像到视频）及多种基础模型和奖励机制，有效解决了现有方法在采样兼容性、大规模训练稳定性和视频生成验证上的不足。实验表明，DanceGRPO在多个视觉质量和对齐评测上显著优于基线，尤其在复杂视频生成中表现出更稳定的策略优化能力，推动了基于人类反馈的视觉生成强化学习的发展。,15
"AttentionInfluence: Adopting Attention Head Influence for Weak-to-Strong
  Pretraining Data Selection",AttentionInfluence：采用注意力头影响进行弱到强预训练数据选择,LLM,ByteDance,https://arxiv.org/pdf/2505.07293,https://huggingface.co/papers/2505.07293,本文提出了一种名为AttentionInfluence的无监督预训练数据选择方法，通过分析小型语言模型中注意力头的影响力，识别出对推理能力关键的数据子集。该方法无需人工标注，通过简单的注意力头屏蔽操作实现高效数据筛选。实验中，作者利用该方法从大规模语料中选取高质量数据，预训练更大模型，显著提升了多项知识密集型和推理任务的表现。研究展示了小模型辅助提升大模型性能的有效策略，为推理导向的数据选择提供了可扩展的解决方案。,15
"WebGen-Bench: Evaluating LLMs on Generating Interactive and Functional
  Websites from Scratch",WebGen-Bench：评估基于LLM的智能体从零开始生成交互式功能性网站的能力,Agent,Other,https://arxiv.org/pdf/2505.03733,https://huggingface.co/papers/2505.03733,"本文提出了WebGen-Bench，一个用于评估大型语言模型（LLM）生成多文件交互式网站代码能力的新基准。该基准包含由人工与GPT-4o共同设计的多样化网站生成指令及647个针对功能的自动化测试用例，利用网页导航代理实现测试自动化。通过对三种代码代理框架及多款LLM的评测，结果显示生成高质量网站仍具挑战性。作者还构建了包含6,667条指令的训练集，训练模型在基准上的表现优于现有最优模型。该工作为推动基于LLM的自动网站开发提供了重要工具和数据资源。",14
"Skywork-VL Reward: An Effective Reward Model for Multimodal
  Understanding and Reasoning",Skywork-VL Reward：一种用于多模态理解与推理的有效奖励模型,Multimodal LLM,Other,https://arxiv.org/pdf/2505.07263,https://huggingface.co/papers/2505.07263,本文提出了Skywork-VL Reward，一种用于多模态理解与推理任务的奖励模型。该模型通过构建大规模多模态偏好数据集，涵盖多样任务和场景，并结合基于Qwen2.5-VL-7B-Instruct的模型架构及多阶段微调策略，实现了对视觉-语言模型及其推理能力的有效评估。实验结果显示，Skywork-VL Reward在多模态和文本奖励基准测试中表现优异，且其偏好数据显著提升了混合偏好优化训练效果。该工作推动了多模态奖励模型的通用性和可靠性，模型已公开发布以促进研究透明和复现。,13
