标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
Harnessing the Reasoning Economy: A Survey of Efficient Reasoning for Large Language Models,利用推理经济：大语言模型高效推理的调查,31 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.24377,https://www.arxiv.org/abs/2503.24377,https://www.alphaxiv.org/abs/2503.24377,本文综述了大型语言模型（LLMs）在推理效率方面的研究，提出了“推理经济”的概念，以平衡推理性能与计算成本。虽然深度推理（系统2）提高了任务准确性，但常常伴随高计算开销，而快速推理（系统1）则效率较高但效果不佳。论文分析了推理低效的原因、不同推理模式的行为，并探讨了在后训练和测试阶段实现推理经济的潜在解决方案。通过提供可操作的见解和开放挑战，旨在推动该领域的研究进展，并建立了一个公共资源库以跟踪相关发展。,7
Self-Routing RAG: Binding Selective Retrieval with Knowledge Verbalization,自路由RAG：结合选择性检索与知识表述,01 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.01018,https://www.arxiv.org/abs/2504.01018,https://www.alphaxiv.org/abs/2504.01018,"本文提出了一种新颖的框架——自路由检索增强生成（Self-Routing RAG, SR-RAG），旨在提升选择性检索的效果。SR-RAG结合了外部知识检索与大型语言模型（LLM）自身知识的口头表达，允许模型动态选择最合适的知识源。通过多任务优化，SR-RAG显著提高了响应的准确性和推理效率，减少了29%的检索需求，同时提升了5.1%的性能。该方法在复杂查询中表现尤为出色，展示了知识口头表达在选择性检索中的重要性。数据和代码将公开发布，以促进后续研究。",0
"When To Solve, When To Verify: Compute-Optimal Problem Solving and Generative Verification for LLM Reasoning",何时求解，何时验证：计算最优的问题解决与大语言模型推理的生成验证,01 Apr 2025,LLM,Google,https://arxiv.org/pdf/2504.01005,https://www.arxiv.org/abs/2504.01005,https://www.alphaxiv.org/abs/2504.01005,本论文探讨了在有限推理预算下，如何优化大型语言模型（LLMs）的问题解决与验证过程。研究比较了两种方法：自一致性（SC）和生成奖励模型（GenRM）。结果表明，在大多数实际预算下，自一致性在计算效率上优于生成奖励模型，尤其在低预算时，SC使用的计算资源最多可减少8倍。尽管GenRM在高预算下表现更佳，但整体上，研究提供了在测试时间优化中平衡解题生成与验证的实用指导，为提升LLMs的推理能力提供了新的视角。,0
MedReason: Eliciting Factual Medical Reasoning Steps in LLMs via Knowledge Graphs,MedReason：通过知识图谱引导大语言模型中的事实医学推理步骤,01 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.00993,https://www.arxiv.org/abs/2504.00993,https://www.alphaxiv.org/abs/2504.00993,"本文介绍了MedReason，一个大型高质量的医学推理数据集，旨在提升大型语言模型（LLMs）在医学领域的推理能力。通过利用结构化的医学知识图谱，MedReason将临床问答对转化为逻辑推理链，生成32,682个带有详细逐步解释的问题-回答对。实验表明，使用该数据集进行微调显著提高了医学问题解决能力，MedReason -8B模型在临床基准测试MedBullets中超越了现有的顶尖模型。该研究为提升AI在医学领域的可靠性和可解释性提供了重要支持。",0
On the Robustness of Agentic Function Calling,智能体功能调用的鲁棒性研究,01 Apr 2025,Agent,Other,https://arxiv.org/pdf/2504.00914,https://www.arxiv.org/abs/2504.00914,https://www.alphaxiv.org/abs/2504.00914,本文探讨了大型语言模型（LLMs）作为自主代理在功能调用（FC）方面的鲁棒性，提出了一个新基准来评估其对自然语言查询变体的韧性及在工具包扩展时的稳定性。尽管已有研究主要关注FC的准确性，但对其鲁棒性的研究相对较少。通过对现有FC模型在伯克利功能调用排行榜（BFCL）上的表现进行评估，论文揭示了当前评估方法的关键弱点，并指出在实际应用中改进的必要性。这项研究为未来的LLM代理部署提供了重要的见解和改进方向。,0
Agent S2: A Compositional Generalist-Specialist Framework for Computer Use Agents,Agent S2：一种用于计算机使用智能体的组合通用-专业框架,01 Apr 2025,Agent,Other,https://arxiv.org/pdf/2504.00906,https://www.arxiv.org/abs/2504.00906,https://www.alphaxiv.org/abs/2504.00906,本文介绍了Agent S2，一个新颖的计算机使用代理框架，旨在提高数字任务的自动化效率。Agent S2通过将认知任务分配给不同的通用模型和专业模型，解决了当前代理在GUI元素定位、长时间任务规划和性能瓶颈等方面的挑战。该框架采用了新颖的混合定位技术和主动层级规划方法，能够动态调整行动计划。实验结果表明，Agent S2在多个计算机使用基准测试中达到了新的最优性能，尤其在OSWorld基准的15步和50步评估中，分别提高了18.9%和32.7%。该系统展示了在多种操作系统和应用程序中的有效推广能力。,0
GenPRM: Scaling Test-Time Compute of Process Reward Models via Generative Reasoning,GenPRM：通过生成推理扩展过程奖励模型的测试时间计算,01 Apr 2025,LLM,"THU, Shanghai AI Lab",https://arxiv.org/pdf/2504.00891,https://www.arxiv.org/abs/2504.00891,https://www.alphaxiv.org/abs/2504.00891,本文提出了GenPRM，一种生成式过程奖励模型，旨在提升大语言模型（LLMs）的过程监督能力。GenPRM通过显式的链式推理和代码验证，解决了现有过程奖励模型（PRMs）在监督能力、泛化和测试时间计算方面的局限性。研究中引入了相对进度估计和新颖的推理框架，显著提高了模型的性能。实验结果表明，GenPRM在多个数学推理任务和ProcessBench上优于传统的分类基础PRMs，且较小的GenPRM模型在测试时间扩展中表现优异。这项研究为过程监督提供了新的视角，并为未来的研究指明了方向。,0
Improved Visual-Spatial Reasoning via R1-Zero-Like Training,通过R1-Zero类训练改善视觉空间推理,01 Apr 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2504.00883,https://www.arxiv.org/abs/2504.00883,https://www.alphaxiv.org/abs/2504.00883,本论文探讨了通过R1-Zero-like训练提升多模态大型语言模型（MLLMs）在视频基础视觉空间推理（VSI）方面的能力。研究发现，传统的推理提示无法有效激活中小型Qwen2-VL模型的视觉空间推理能力，因此引入了基于GRPO的训练方法，并使用VSI-100k数据集进行优化。经过120小时的GPU训练，vsGRPO-2B模型在性能上超越了基础模型12.1%，而vsGRPO-7B模型则与最先进的开源模型LLaVA-NeXT-Video-72B相当。研究表明，GRPO训练在提升视觉空间推理方面具有显著优势，为未来的AI应用提供了新的思路和方法。,0
m1: Unleash the Potential of Test-Time Scaling for Medical Reasoning with Large Language Models,m1：释放大语言模型在医学推理中的测试时间缩放潜力,01 Apr 2025,LLM,Amazon,https://arxiv.org/pdf/2504.00869,https://www.arxiv.org/abs/2504.00869,https://www.alphaxiv.org/abs/2504.00869,本论文探讨了测试时间扩展（test-time scaling）在医学推理中的应用，提出了一种名为m1的有效方法，旨在提高大型语言模型（LLMs）的医学推理能力。研究表明，通过增加推理令牌预算，m1模型在多个医学问答任务中表现出显著的性能提升，尤其是32B模型的表现可与70B规模的医学LLMs相媲美。论文还发现，最佳推理令牌预算约为4K，超出此范围可能导致性能下降。此外，模型的医学知识不足被识别为性能提升的主要瓶颈，强调了在医学推理中，丰富的医学知识比单纯增加推理深度更为重要。,0
Investigating Large Language Models in Diagnosing Students' Cognitive Skills in Math Problem-solving,研究大语言模型在诊断学生数学问题解决中的认知技能,01 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.00843,https://www.arxiv.org/abs/2504.00843,https://www.alphaxiv.org/abs/2504.00843,本论文探讨了大型语言模型（LLMs）在数学问题解决中诊断学生认知技能的能力。研究构建了一个名为MATHCOG的新基准数据集，包含639个学生对110个中学数学问题的回应，并提供了详细的教师诊断。通过评估16种不同的LLMs，结果显示即使是最先进的模型在此任务中的表现依然欠佳，F1分数均低于0.5，并表现出对错误案例的过度自信。此外，模型规模与诊断性能呈正相关。研究揭示了当前自动化认知技能诊断的挑战，并指出了未来改进的方向。,0
